deployment,endpoint,requests,container,role,samples,cpu_avg_pct,cpu_max_pct,mem_max_mib,pids_max
single,static,1,opensearch,opensearch,79,3.07,8.58,1066.0,131
single,static,1,software-architecture-app-1,app,79,0.01,0.71,87.3,11
single,static,1,software-architecture-db-1,db,79,0.5,3.54,22.5,7
single,static,1,software-architecture-redis-1,redis,79,1.13,4.86,9.9,6
single,static,1,software-architecture-static-nginx-1,static,79,0.0,0.15,7.5,9
single,static,1,traefik,traefik,79,0.05,2.43,36.3,13
single,static,10,opensearch,opensearch,81,2.0,6.21,1070.1,128
single,static,10,software-architecture-app-1,app,81,0.01,0.56,93.8,11
single,static,10,software-architecture-db-1,db,81,0.44,3.07,22.6,7
single,static,10,software-architecture-redis-1,redis,81,1.22,2.27,9.9,6
single,static,10,software-architecture-static-nginx-1,static,81,0.0,0.23,7.8,9
single,static,10,traefik,traefik,81,0.11,2.93,37.0,13
single,static,100,opensearch,opensearch,81,2.01,7.24,1071.1,128
single,static,100,software-architecture-app-1,app,81,0.0,0.07,93.9,11
single,static,100,software-architecture-db-1,db,81,0.4,2.08,22.5,7
single,static,100,software-architecture-redis-1,redis,81,1.19,1.47,9.9,6
single,static,100,software-architecture-static-nginx-1,static,81,0.03,0.18,8.0,9
single,static,100,traefik,traefik,81,0.4,2.23,39.6,13
single,static,1000,opensearch,opensearch,81,1.64,4.52,1071.1,128
single,static,1000,software-architecture-app-1,app,81,0.0,0.08,94.1,11
single,static,1000,software-architecture-db-1,db,81,0.45,2.67,22.5,7
single,static,1000,software-architecture-redis-1,redis,81,1.2,2.56,9.9,6
single,static,1000,software-architecture-static-nginx-1,static,81,0.35,0.51,8.1,9
single,static,1000,traefik,traefik,81,1.62,5.92,46.0,13
single,static,5000,opensearch,opensearch,79,1.83,12.74,1076.2,128
single,static,5000,software-architecture-app-1,app,79,0.0,0.08,93.2,11
single,static,5000,software-architecture-db-1,db,79,0.38,2.22,22.6,7
single,static,5000,software-architecture-redis-1,redis,79,1.14,1.97,9.7,6
single,static,5000,software-architecture-static-nginx-1,static,79,1.46,2.0,8.4,9
single,static,5000,traefik,traefik,79,6.0,8.26,66.9,13
single,aggregation,1,opensearch,opensearch,77,1.99,5.47,1076.2,128
single,aggregation,1,software-architecture-app-1,app,77,0.18,13.61,91.2,11
single,aggregation,1,software-architecture-db-1,db,77,0.41,2.25,22.7,12
single,aggregation,1,software-architecture-redis-1,redis,77,1.22,1.68,9.9,6
single,aggregation,1,software-architecture-static-nginx-1,static,77,0.0,0.0,7.7,9
single,aggregation,1,traefik,traefik,77,0.12,4.12,66.3,13
single,aggregation,10,opensearch,opensearch,79,2.21,24.85,1076.2,128
single,aggregation,10,software-architecture-app-1,app,79,0.04,1.47,53.2,11
single,aggregation,10,software-architecture-db-1,db,79,0.42,2.06,22.5,7
