deployment,endpoint,target_rps,achieved_rps,error_pct,lat_med_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,app_cpu_avg_pct,app_mem_max_mib,app_pids_max,traefik_cpu_avg_pct,traefik_mem_max_mib,traefik_pids_max,static_cpu_avg_pct,static_mem_max_mib,static_pids_max,db_cpu_avg_pct,db_mem_max_mib,db_pids_max,redis_cpu_avg_pct,redis_mem_max_mib,redis_pids_max,opensearch_cpu_avg_pct,opensearch_mem_max_mib,opensearch_pids_max
single,static,25,25,0,8.0,10.9,15.6,54.6,0.0,54.0,11,9.9,43.5,13,1.8,7.9,9,0.6,22.5,7,0.9,9.7,6,2.9,1146.9,125
x3,static,25,25,0,7.8,10.8,13.7,26.9,0.0,220.3,33,8.5,39.6,13,1.8,7.9,9,0.5,21.9,7,0.9,9.7,6,5.3,1157.1,134
single,static,50,50,0,4.7,8.0,10.3,18.7,0.0,53.9,11,12.9,46.2,13,2.4,8.2,9,0.3,20.7,6,0.7,9.7,6,2.1,1147.9,125
x3,static,50,50,0,4.8,8.0,9.7,32.6,0.0,168.2,33,13.1,42.4,13,2.4,8.1,9,0.6,20.7,6,0.7,9.5,6,2.9,1161.2,133
single,static,100,100,0,3.1,4.6,8.5,50.1,0.0,53.9,11,16.6,48.0,13,3.0,8.2,9,0.4,20.8,6,0.5,9.4,6,1.5,1165.3,132
x3,static,100,100,0,3.1,4.7,8.0,56.2,0.0,168.2,33,17.1,44.8,13,3.0,8.2,9,0.4,20.7,6,0.5,9.5,6,1.1,1161.2,133
single,static,200,200,0,2.1,3.3,6.9,48.3,0.0,53.9,11,23.9,50.1,13,4.4,8.1,9,0.5,20.7,6,0.4,9.4,6,1.6,1166.3,130
x3,static,200,200,0,2.1,2.9,5.9,27.3,0.0,168.2,33,23.5,44.6,14,4.3,8.2,9,0.3,22.4,11,0.4,9.5,6,1.4,1162.2,133
single,static,300,300,0,1.8,2.8,6.6,37.9,0.0,53.9,11,31.0,50.4,13,5.7,8.0,9,0.4,20.7,6,0.4,9.4,6,1.2,1166.3,130
x3,static,300,300.0,0,1.9,3.0,6.5,56.1,0.0,168.2,33,31.6,49.3,14,5.7,8.2,9,0.3,20.7,6,0.3,9.5,6,1.0,1164.3,133
single,static,400,400,0,1.8,2.7,6.4,62.6,0.0,53.9,11,41.9,55.2,13,7.9,8.4,9,0.1,20.7,6,0.4,9.4,6,0.8,1166.3,130
x3,static,400,400,0,1.9,3.1,7.1,63.1,0.0,168.2,33,41.7,52.9,14,7.5,8.1,9,0.5,20.7,6,0.4,9.5,6,1.4,1164.3,134
single,static,600,600,0,2.0,5.1,10.7,73.6,0.0,53.9,11,60.4,57.2,13,11.6,8.2,9,0.3,20.7,6,0.4,9.4,6,1.3,1166.3,130
x3,static,600,600,0,2.0,4.3,10.5,59.7,0.0,168.2,33,60.6,53.5,14,11.7,8.1,9,0.3,20.8,6,0.4,9.7,6,1.8,1184.8,138
single,aggregation,25,25,0,7.8,12.3,16.8,34.1,14.5,89.3,11,4.7,53.9,13,0.0,7.8,9,0.4,22.5,7,1.2,9.5,6,1.8,1169.4,130
x3,aggregation,25,25,0,7.7,12.4,15.0,27.5,15.7,251.4,33,3.9,51.2,14,0.0,7.8,9,0.4,22.5,7,1.0,9.8,6,2.0,1184.8,138
single,aggregation,50,50,0,4.8,7.7,10.3,35.1,16.9,90.2,11,5.1,54.1,13,0.0,7.7,9,0.3,20.7,6,1.1,9.7,6,1.4,1168.4,130
x3,aggregation,50,50,0,5.1,7.7,12.7,46.7,18.6,261.0,33,4.7,51.0,14,0.0,7.7,9,0.3,20.8,6,0.9,9.8,6,2.2,1184.8,138
single,aggregation,100,100,0,3.5,5.1,8.2,31.1,21.2,91.0,11,7.4,54.1,14,0.0,7.7,9,0.5,20.8,6,1.1,9.7,6,0.9,1168.4,127
x3,aggregation,100,100.0,0,3.6,5.3,8.5,46.2,26.2,263.6,33,7.2,51.1,14,0.0,7.7,9,0.5,20.7,6,1.0,9.5,6,1.2,1185.8,138
single,aggregation,200,200,0,2.5,3.7,6.4,17.9,33.4,94.7,11,10.5,54.6,14,0.0,7.7,9,0.4,20.8,6,1.2,9.8,6,1.2,1169.4,127
x3,aggregation,200,200.1,0,2.6,4.3,8.4,50.6,34.7,265.3,33,10.3,53.0,14,0.0,7.7,9,0.3,20.8,6,1.2,9.8,6,0.8,1185.8,138
single,aggregation,300,299.9,0,2.1,3.4,6.9,39.5,38.1,96.7,11,13.6,56.4,14,0.0,7.7,9,0.0,20.7,6,1.5,9.5,6,0.6,1169.4,127
x3,aggregation,300,300,0,2.4,7.6,30.1,125.7,53.4,268.6,33,16.6,58.9,14,0.0,7.7,9,0.4,20.7,6,1.8,9.6,6,1.3,1186.8,138
single,aggregation,400,399.9,0,2.0,3.6,9.5,106.4,47.1,97.2,11,16.3,58.9,14,0.0,7.7,9,0.1,20.8,6,1.7,9.8,6,1.3,1169.4,127
x3,aggregation,400,400,0,2.3,4.7,10.7,74.9,58.0,272.4,33,17.8,56.1,14,0.0,7.7,9,0.3,20.7,6,2.0,9.8,6,0.4,1186.8,133
single,aggregation,600,600.0,0,2.1,13.1,29.3,238.8,64.4,121.4,11,22.5,64.0,14,0.0,7.7,9,0.4,20.7,6,2.3,9.8,6,1.6,1169.4,127
