deployment,endpoint,requests,sent,dropped,2xx,3xx,4xx,5xx,errors,lat_avg_ms,lat_med_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,rps,app_n,app_cpu_avg_pct,app_cpu_max_pct,app_mem_max_mib,app_pids_max,traefik_n,traefik_cpu_avg_pct,traefik_cpu_max_pct,traefik_mem_max_mib,traefik_pids_max,static_n,static_cpu_avg_pct,static_cpu_max_pct,static_mem_max_mib,static_pids_max,db_n,db_cpu_avg_pct,db_cpu_max_pct,db_mem_max_mib,db_pids_max,redis_n,redis_cpu_avg_pct,redis_cpu_max_pct,redis_mem_max_mib,redis_pids_max,opensearch_n,opensearch_cpu_avg_pct,opensearch_cpu_max_pct,opensearch_mem_max_mib,opensearch_pids_max
single,static,1,1,0,1,0,0,0,0,3.01,3.01,3.01,3.01,3.01,3.01,0.003,1,0.01,0.71,87.3,11,1,0.05,2.43,36.3,13,1,0.0,0.15,7.5,9,1,0.5,3.54,22.5,7,1,1.13,4.86,9.9,6,1,3.07,8.58,1066.0,131
single,static,10,10,0,10,0,0,0,0,8.51,6.68,15.7,17.31,18.59,18.91,0.033,1,0.01,0.56,93.8,11,1,0.11,2.93,37.0,13,1,0.0,0.23,7.8,9,1,0.44,3.07,22.6,7,1,1.22,2.27,9.9,6,1,2.0,6.21,1070.1,128
single,static,100,100,0,100,0,0,0,0,7.2,6.36,10.89,11.56,15.9,18.2,0.333,1,0.0,0.07,93.9,11,1,0.4,2.23,39.6,13,1,0.03,0.18,8.0,9,1,0.4,2.08,22.5,7,1,1.19,1.47,9.9,6,1,2.01,7.24,1071.1,128
single,static,1000,1000,0,1000,0,0,0,0,8.8,9.27,11.03,11.96,15.71,28.21,3.332,1,0.0,0.08,94.1,11,1,1.62,5.92,46.0,13,1,0.35,0.51,8.1,9,1,0.45,2.67,22.5,7,1,1.2,2.56,9.9,6,1,1.64,4.52,1071.1,128
single,static,5000,5000,0,5000,0,0,0,0,8.12,8.61,10.2,11.1,15.2,44.29,16.663,1,0.0,0.08,93.2,11,1,6.0,8.26,66.9,13,1,1.46,2.0,8.4,9,1,0.38,2.22,22.6,7,1,1.14,1.97,9.7,6,1,1.83,12.74,1076.2,128
single,aggregation,1,1,0,1,0,0,0,0,8.67,8.67,8.67,8.67,8.67,8.67,0.003,1,0.18,13.61,91.2,11,1,0.12,4.12,66.3,13,1,0.0,0.0,7.7,9,1,0.41,2.25,22.7,12,1,1.22,1.68,9.9,6,1,1.99,5.47,1076.2,128
single,aggregation,10,10,0,10,0,0,0,0,9.17,9.37,10.77,11.58,12.24,12.4,0.033,1,0.04,1.47,53.2,11,1,0.14,2.09,64.2,13,1,0.0,0.0,7.7,9,1,0.42,2.06,22.5,7,1,1.22,1.67,9.9,6,1,2.21,24.85,1076.2,128
single,aggregation,100,100,0,100,0,0,0,0,10.06,8.75,14.95,15.48,16.71,20.21,0.332,1,0.27,1.43,58.5,11,1,0.41,3.52,65.7,13,1,0.0,0.0,7.7,9,1,0.39,2.07,22.5,7,1,1.24,1.75,9.9,6,1,1.79,9.12,1076.2,128
single,aggregation,1000,1000,0,1000,0,0,0,0,11.1,11.75,13.82,14.3,16.42,22.15,3.332,1,2.62,8.79,87.7,11,1,1.0,6.91,69.7,13,1,0.0,0.0,7.7,9,1,0.46,2.81,22.7,7,1,1.21,1.6,9.7,6,1,1.47,5.73,1074.2,128
single,aggregation,5000,5000,0,5000,0,0,0,0,9.3,9.75,11.73,12.61,15.76,172.9,16.662,1,9.86,18.87,97.0,11,1,3.13,7.47,63.9,13,1,0.0,0.0,7.7,9,1,0.46,2.4,22.6,7,1,1.33,3.99,9.7,6,1,1.7,9.52,1075.2,129
single,search,1,1,0,1,0,0,0,0,335.27,335.27,335.27,335.27,335.27,335.27,0.003,1,0.0,0.09,55.1,11,1,0.02,0.1,63.5,13,1,0.0,0.0,7.7,9,1,0.48,2.44,24.1,8,1,1.24,1.74,10.0,6,1,1.52,4.98,1077.2,131
single,search,10,10,0,10,0,0,0,0,36.76,35.64,41.84,47.41,51.87,52.99,0.033,1,0.09,1.96,57.2,11,1,0.17,3.74,63.6,13,1,0.0,0.0,7.7,9,1,0.36,1.95,25.0,14,1,1.21,2.02,10.0,6,1,2.26,19.1,1153.0,130
single,search,100,100,0,100,0,0,0,0,26.58,24.95,38.47,39.71,49.67,73.59,0.333,1,0.5,3.65,60.9,11,1,0.4,1.97,64.1,13,1,0.0,0.0,7.7,9,1,0.51,2.77,25.8,9,1,1.24,1.79,10.2,6,1,2.7,8.16,1145.9,130
single,search,1000,1000,0,1000,0,0,0,0,24.55,25.08,30.99,32.46,36.66,46.74,3.333,1,3.96,10.68,89.3,11,1,0.95,7.18,64.1,13,1,0.0,0.0,7.7,9,1,0.78,2.46,24.7,8,1,1.01,1.4,10.0,6,1,6.67,14.86,1159.2,129
single,search,5000,5000,0,5000,0,0,0,0,13.66,13.46,18.39,19.72,22.43,63.72,16.661,1,9.66,19.61,95.5,11,1,1.79,8.42,66.1,13,1,0.0,0.0,7.7,9,1,1.89,3.46,26.7,9,1,0.56,0.93,10.0,6,1,13.16,23.67,1172.5,131
single,detail,1,1,0,1,0,0,0,0,16.02,16.02,16.02,16.02,16.02,16.02,0.003,1,0.0,0.14,57.1,11,1,0.03,0.68,63.6,13,1,0.0,0.0,7.7,9,1,0.4,2.73,23.0,12,1,1.19,1.62,10.0,6,1,1.61,5.06,1173.5,129
single,detail,10,10,0,10,0,0,0,0,22.12,21.8,28.04,33.64,38.12,39.24,0.033,1,0.07,2.07,58.6,11,1,0.17,3.59,63.9,13,1,0.0,0.0,7.7,9,1,0.41,2.35,22.8,7,1,1.2,1.58,10.0,6,1,1.52,5.16,1173.5,129
single,detail,100,100,0,100,0,0,0,0,14.3,13.09,18.87,19.89,24.87,26.0,0.333,1,0.35,1.84,63.4,11,1,0.38,4.29,64.0,13,1,0.0,0.0,7.7,9,1,0.52,2.76,23.0,13,1,1.24,4.35,10.0,6,1,1.53,4.45,1173.5,129
single,detail,1000,1000,0,1000,0,0,0,0,14.13,15.05,17.36,18.21,21.44,48.1,3.333,1,3.18,8.48,90.5,11,1,0.94,6.88,64.2,13,1,0.0,0.0,7.7,9,1,0.89,2.69,22.9,7,1,1.18,1.86,10.0,6,1,1.52,6.43,1173.5,129
single,detail,5000,5000,0,5000,0,0,0,0,11.14,11.67,14.41,15.36,18.88,48.6,16.664,1,13.01,23.09,95.6,11,1,2.96,7.11,64.5,13,1,0.0,0.0,7.7,9,1,2.39,4.01,23.0,7,1,1.04,1.5,10.0,6,1,1.26,4.6,1173.5,129
x3,static,1,1,0,1,0,0,0,0,2.52,2.52,2.52,2.52,2.52,2.52,0.003,3,0.04,2.22,171.3,33,1,0.04,0.58,22.9,12,1,0.0,0.0,7.5,9,1,0.57,11.37,25.6,12,1,1.13,2.26,10.0,6,1,3.6,35.61,1148.9,139
x3,static,10,10,0,10,0,0,0,0,8.45,8.62,12.01,14.31,16.14,16.6,0.033,3,0.03,0.96,146.2,33,1,0.05,2.05,23.8,12,1,0.0,0.0,7.5,9,1,0.43,2.39,22.6,8,1,1.13,1.56,10.0,6,1,2.68,7.51,1154.0,140
x3,static,100,100,0,100,0,0,0,0,7.4,6.86,11.4,12.03,14.89,19.23,0.333,3,0.02,1.22,152.2,33,1,0.41,2.33,31.1,13,1,0.03,0.16,7.9,9,1,0.38,3.05,22.5,7,1,1.12,1.87,10.0,6,1,2.13,9.6,1152.0,135
x3,static,1000,1000,0,1000,0,0,0,0,8.39,9.04,10.97,12.2,15.2,27.96,3.332,3,0.01,0.33,156.0,33,1,1.7,7.34,41.7,13,1,0.29,0.45,7.8,9,1,0.47,3.15,22.5,7,1,1.07,2.35,9.7,6,1,2.31,9.99,1157.1,136
x3,static,5000,5000,0,5000,0,0,0,0,7.61,8.23,10.22,11.24,15.18,54.19,16.661,3,0.03,0.81,157.8,33,1,5.83,8.04,46.4,13,1,1.27,2.38,8.3,9,1,0.49,2.33,22.6,7,1,1.0,1.65,10.0,6,1,2.39,26.67,1157.1,136
